Incident Type,Location,Summary,Timestamp,Price Category,Latitude,Longitude
Petty Theft ‐ Micro Mobility Device,Geisel Library,"Secured electric scooter stolen, Loss $619.87",2023-08-16 20:15:00,Expensive,32.881092,-117.2375659
Grand Theft,Argo Hall,"Two stolen bike racks, loss $1,500.00",2023-08-09 21:00:00,Low,32.8745162,-117.2416218
Grand Theft ‐ Micro Mobility Device,Tierra,"Secured electric bicycle stolen, loss $4,000.00",2023-08-21 22:00:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Structural & Material Engineering Bldg,"Secured electric scooter stolen, loss $500.00",2023-08-22 13:25:00,Expensive,32.8800218,-117.2329402
Petty Theft,Trolley ‐ Central Campus Station,Reporting party saw an unknown male steal a scooter,2023-08-22 21:20:00,Low,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Design and Innovation Building,"Secured electric scooter stolen, loss $399.00",2023-08-23 17:20:00,Expensive,32.8794117,-117.2322377
Grand Theft ‐ Bicycle,Brisa,"Secured bicycle stolen, loss $1,299.00",2023-08-24 20:20:00,Low,,
Petty Theft ‐ Micro Mobility Device,Warren Residential Hall,"Unsecured electric scooter stolen, loss $350.00",2023-06-16 00:00:00,Expensive,32.8839947,-117.2332494
Petty Theft ‐ Bicycle,Nuevo East ‐ Porton,"Secured bicycle stolen from outside fitness center, loss $500.00",2023-08-25 18:49:00,Expensive,32.8750388,-117.2190994
Petty Theft / Vandalism,Trolley ‐ Central Campus Station,"Unknown suspect stole victim's secured electric scooter and damaged the cable lock, damage $14.00, loss $300.00",2023-08-26 20:00:00,Low,32.878353,-117.231842
Grand Theft ‐ Micor Mobility Device,Peppery Canyon Apartments,"Secured electric bicycle stolen, Loss $1,200.00",2023-08-26 14:00:00,Low,32.8775872,-117.2306142
Petty Theft ‐ Micro Mobility Device,Student Services Center,"Secured electric scooter stolen, loss $349.00",2023-08-30 16:00:00,Expensive,32.8785203,-117.235886
Petty Theft ‐ Micro Mobility Device,Franklin Antonio Hall,"Secured electric scooter stolen, Loss $400.00",2023-09-01 15:30:00,Expensive,32.8835013,-117.2349145
Petty Theft ‐ Bicycle,La Jolla Del Sol Apartments,"Secured bicycle stolen, Loss $400.00",2023-09-01 18:30:00,Expensive,32.8655512,-117.2230338
Grand Theft ‐ Bicycle,John's Place & Market,"Unsecured bicycle stolen, loss $2,000.00",2023-09-02 17:00:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Design and Innovation Building,"Secured electric scooter stolen, loss $500.00",2023-09-02 13:50:00,Expensive,32.8794117,-117.2322377
Grand Theft ‐ Bicycle,Astilla,"Secured bicycle stolen, loss $1,000",2023-09-05 16:00:00,Medium,,
Petty Theft,Thurgood Marshall Res Halls,"Bicycle stolen, loss $300.00",2023-09-06 20:03:00,Expensive,,
Petty Theft,Urey Hall,"Secured bicycle stolen, loss $120.00",2023-09-08 18:00:00,Low,32.8755628,-117.2410642
Grand Theft,Torrey Pines Center North,"Report of stolen bicycle, total loss $6,000",2023-09-12 14:00:00,Expensive,32.8905271,-117.2430509
Petty Theft,Artesa,"Secured bicycle stolen, loss $500.00",2023-09-13 18:00:00,Expensive,,
Grand Theft,Neighborhood ‐ TDLL,"Unsecure bicycle stolen, loss $699.00",2023-09-13 15:00:00,Expensive,,
Grand Theft,North Torrey Pines Parking Lot,"Secured bicycle stolen, loss $8,000.00",2023-09-12 14:00:00,Expensive,,
Theft ‐ Bicycle,Mesa Apartments South,"Secured bicycle stolen, loss $500",2023-09-17 19:18:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,RIMAC Annex,"Secured electric scooter stolen, Loss $250",2023-09-18 15:40:00,Expensive,32.8857682,-117.2404605
Petty Theft,RIMAC Annex,"Secured electric scooter stolen, Loss $300",2023-09-18 16:00:00,Expensive,32.8857682,-117.2404605
Petty Theft,Computer Science and Engineering Building,"Secured bicycle stolen, Loss $400.00",2023-09-19 12:35:00,Expensive,32.88180060000001,-117.2335235
Petty Theft,Voigt Drive,"Secured Bicycle stolen, Loss $400",2023-09-19 12:35:00,Expensive,32.8811362,-117.2295642
Petty Theft,Pepper Canyon Lane,"Secured bicycle stolen, loss $500.00",2023-09-21 12:25:00,Expensive,32.8786572,-117.2292423
Petty Theft ‐ Micro Mobility Device,Stein Clinical Research Building,"Unknown suspect(s) stole a secured electric scooter, approximate loss is $300",2023-09-22 16:45:00,Expensive,32.875958,-117.2340132
Petty Theft ‐ Micro Mobility Device,Target,"Unknown suspect(s) stole a secured electric bicycle, approximate loss is $360",2023-09-22 17:00:00,Expensive,,
Bicycle Theft,Library Walk San Diego,"Secured bicycle left by Target entrance, lock was cut off and bike was no longer there",2023-09-22 17:10:00,Low,32.8787741,-117.2375612
Bicycle Theft,One Miramar St,Secured bicycle was removed from bike rack,2023-09-21 18:40:00,Low,32.8737372,-117.2268607
Grand Theft ‐ Micro Mobility Device,RIMAC,"Unknown suspect(s) stole a secured electric bicycle, approximate total loss $2,300",2023-09-26 21:15:00,Expensive,32.8851041,-117.2404977
Petty Theft ‐ Micro Mobility Device,Muir Biology Building,"Secured electric scooter at bike racks near building, lock had been cut and scooter was gone, market value $800",2023-09-26 20:50:00,Expensive,32.8784187,-117.2410685
Grand Theft ‐ Micro Mobility Device,Canyonview Rec/Athletics Administration,"Unsecured electric scooter stolen, loss $1,300.00",2023-09-27 10:30:00,Low,,
Grand Theft ‐ Micro Mobility Device,Hopkins Dr,"Secured electric bicycle stolen, loss $2,000",2023-09-26 21:00:00,Expensive,32.8862472,-117.2386908
Petty Theft ‐ Bicycle,Regents Road,"Secured bicycle stolen, loss: $200",2023-09-27 14:30:00,Expensive,32.8552295,-117.2176209
Petty Theft ‐ Bicycle,Exchange,"Secured bicycle stolen, loss: $900.00",2023-09-27 17:45:00,Expensive,,
Petty Theft ‐ Bicycle,Pepper Canyon Apartments,"Secured bicycle stolen from bike rack, loss $50.00",2023-09-28 11:00:00,Medium,32.8775872,-117.2306142
Petty Theft ‐ Micro Mobility Device,Seventh College West,"Unknown suspect(s) stole a secured electric scooter, loss $500.00",2023-09-28 14:00:00,Expensive,32.8880662,-117.2425365
Petty Theft ‐ Micro Mobility Device,Town Square,"Unknown suspect(s) took a secured electric scooter from bike rack, loss $275.00",2023-09-27 15:10:00,Expensive,,
Petty Theft ‐ Bicycle,Cala,"Secured bicycle stolen from bike racks, loss $300.00",2023-09-28 18:00:00,Expensive,,
Bicycle Theft,Matthews Apartments,"Secured bicycle stolen from underneath stairway, loss $300.00",2023-09-28 16:00:00,Expensive,32.878646,-117.2310505
Petty Theft / Drug Law Violation/ Obstruct or Resist Peace Officer / Outside Agency Arrest Warrant ‐ Felony,Price Center West ‐ Target / Trolley ‐ Central Campus Station,"Male subject trying to cut locks outside of store, upon contact with Officers, subject attempted to flee the scene on stolen bicycle, loss $300.00",2023-09-28 17:54:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Male suspect stole a secured electric scooter from bike rack, loss $648.48",2023-09-28 20:31:00,Expensive,32.878353,-117.231842
Petty Theft,Marshall College,"Secured electric bicycle stolen, loss $500.00",2023-09-29 17:00:00,Expensive,32.8831443,-117.2431716
Petty Theft ‐ Micro Mobility Device/ Fraud,Argo Hall,"Original call for suspicious male standing over bike rack, upon contact subject admitted to stealing an electric scooter and was unlawfully in possession of another's credit card",2023-09-30 02:06:00,Low,32.8745162,-117.2416218
Petty Theft ‐ Micro Mobility Device,Atlantis Hall,"Unknown suspect stole victim's secured electric scooter, loss $750.00",2023-09-30 17:00:00,Expensive,32.87385769999999,-117.2424379
Petty Theft ‐ Bicycle,Scholars Dr N.,"Secured bicycle stolen, loss $700.00",2023-09-30 22:00:00,Expensive,32.8842874,-117.2424066
Petty Theft ‐ Micro Mobility Device,RIMAC,"Secured electric scooter stolen, loss $300.00",2023-09-30 22:40:00,Expensive,32.8851041,-117.2404977
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Unknown suspect(s) took a secured electric scooter from bike rack, loss $300.00",2023-10-01 19:20:00,Expensive,32.878353,-117.231842
Bicycle Theft,Frankfurter Hall,"Unknown suspect(s) stole a secured bicycle and accessories, loss $150.00",2023-10-01 22:25:00,Low,32.8846291,-117.2329765
Petty Theft,Otterson Hall,"Secured bicycle stolen, loss $350.00",2023-10-02 13:00:00,Expensive,32.8865929,-117.2411101
Petty Theft of Micro Mobility Device,Galbraith Hall,"Secured electric scooter stolen, loss $650.00",2023-10-02 14:50:00,Expensive,32.8737102,-117.2409723
Petty Theft of Micro Mobility Device,Center Hall,"Secured electric bicycle stolen, loss $1,400.00",2023-10-03 10:15:00,Low,32.8775468,-117.2374084
Petty Theft of Micro Mobility Device,Trolley ‐ Central Campus Station (Bike Racks),"Secured electric scooter stolen, loss $400.00",2023-10-03 10:50:00,Expensive,32.878353,-117.231842
Grand Theft,Sally T. Wongavery Library,"Unsecured electric bicycle stolen, loss $2,000.00",2023-10-03 18:31:00,Expensive,32.8752695,-117.2369405
Petty Theft of Micro Mobility Device,Center Hall,"Secured electric scooter stolen, loss $400.00",2023-10-03 10:50:00,Expensive,32.8775468,-117.2374084
Petty Theft,Tapestry Bike Locker,"Secured bicycle stolen, loss $200.00",2023-10-04 20:00:00,Expensive,,
Petty Theft of Micro Mobility Device,Tioga Hall,"Secured electric bicycle stolen, loss $370.00",2023-10-05 17:00:00,Expensive,32.8790439,-117.2433669
Petty Theft ‐ Micro Mobility Device,Design and Innovation Bldg,"Secured electric scooter stolen, loss $450.00",2023-10-05 22:23:00,Expensive,32.8794117,-117.2322377
Petty Theft of Micro Mobility Device,RIMAC,"Secured electric scooter stolen, loss $1,485.00",2023-10-06 09:05:00,Low,32.8851041,-117.2404977
Petty Theft of Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter stolen, loss $650.00",2023-10-06 17:15:00,Expensive,32.878353,-117.231842
Petty Theft,Matthew Ln,"Unknown suspect(s) tampered with electric scooter, loss $400.00",2023-10-06 23:00:00,Expensive,32.8801283,-117.2344967
Petty Theft,Piedra,"Secured bicycle stolen, loss $950.00",2023-10-06 21:30:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Center Hall,"Secured electric scooter stolen, loss $545",2023-10-05 23:55:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Micro Mobility Device,The Village At Torrey Pines,"Secured electric scooter stolen, loss $500",2023-10-09 17:40:00,Expensive,32.8879573,-117.2425452
Petty Theft ‐ Micro Mobility Device,Meteor Hall,"Secured electric scooter stolen, loss $530.00",2023-10-09 10:00:00,Expensive,32.8738214,-117.2419498
Petty Theft ‐ Micro Mobility Device,Marshall Residence Hall P,"Secured electric scooter stolen, loss $300.00",2023-10-10 16:25:00,Expensive,32.8829967,-117.2426633
Petty Theft ‐ Bicycle,Applied Physics And Mathematics,"Secured bicycle stolen, loss $750.00",2023-10-10 21:10:00,Expensive,32.8795424,-117.2411535
Grand Theft‐ Micro Mobility Device,Warren Lecture Hall,Secured electric bicycle stolen loss $1600.00,2023-10-10 21:30:00,Expensive,32.8805918,-117.2344208
Petty Theft ‐ Micro Mobility Device,Gilman Dr,"Secured electric bicycle stolen, loss $450.00",2023-10-11 21:44:00,Expensive,32.8648237,-117.2364128
Petty Theft ‐ Micro Mobility Device,Jacobs School of Engineering,"Secured electric scooter stolen, loss $600.00",2023-10-11 11:00:00,Expensive,32.8815676,-117.2354946
Petty Theft ‐ Micro Mobility Device,Gilman Dr,"Secured electric scooter stolen, loss $630.00",2023-10-11 14:50:00,Expensive,32.8648237,-117.2364128
Petty Theft ‐ Micro Mobility Device,Seventh College West,"Secured electric scooter stolen, loss $500.00",2023-10-09 18:00:00,Expensive,32.8880662,-117.2425365
Petty Theft ‐ Micro Mobility Device,Pepper Canyon Apartments,"Secured electric scooter stolen, loss $500.00",2023-10-08 15:15:00,Expensive,32.8775872,-117.2306142
Grand Theft ‐ Bicycle,North America Hall,"Secured bicycle stolen, loss $1000.00",2023-10-12 16:00:00,Expensive,32.8847624,-117.243444
Petty Theft ‐ Micro Mobility Device,Warren Lecture Hall,"Secure electric scooter stolen, loss $300.00",2023-10-12 16:30:00,Expensive,32.8805918,-117.2344208
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter stolen, loss $425.59",2023-10-12 19:10:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Seventh College West Building 6,"Secured electric bicycle stolen, loss $400.00",2023-10-14 08:23:00,Expensive,32.8880731,-117.2431334
Petty Theft ‐ Micro Mobility Device,Theatre District Dr.,"Secured electric scooter stolen, loss $300.00",2023-10-14 16:25:00,Expensive,32.8725215,-117.2405004
Pretty Theft,Trolley ‐ Central Campus Station,"Secured bicycle stolen, loss $698.93",2023-10-14 20:00:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Peterson Hall,"Secured electric bicycle stolen, loss $200.00",2023-10-14 20:50:00,Expensive,32.8799725,-117.2403292
Petty Theft,Main Gym,"Secured electric scooter's handlebar and control panel stolen, loss $380.00",2023-10-15 20:30:00,Expensive,,
Petty Theft,Sixth College Market,"Secured bicycle stolen, loss $100.00",2023-10-16 16:00:00,Medium,32.8807011,-117.2420455
Petty Theft ‐ Micro Mobility Device,Design & Innovation Building,"Secured electric scooter stolen, loss $420.00",2023-10-16 13:50:00,Expensive,32.8794117,-117.2322377
Petty Theft ‐ Micro Mobility Device,Franklin Antonio Hall,"Secured electric bicycle stolen, Loss $541.00",2023-10-16 18:20:00,Expensive,32.8835013,-117.2349145
Petty Theft ‐ Micro Mobility Device,Miramar Street,"Secured electric scooter stolen, loss $279.00",2023-10-16 19:00:00,Expensive,32.8735076,-117.2238704
Petty Theft ‐ Micro Mobility Device,Discovery Hall,"Secured electric scooter stolen, Loss $450.00",2023-10-16 18:40:00,Expensive,32.8740494,-117.2419356
Petty Theft,Villa La Jolla,"Secured Bicycle stolen, Loss $500",2023-10-18 23:20:00,Expensive,32.8704438,-117.2339348
Petty Theft,Piedra ‐ 9th Floor Bike Hangers,"Unsecured bicycle stolen, Loss $519.00",2023-10-19 17:05:00,Expensive,,
Petty Theft,Applied Physics & Mathematics,Secured bicycle stolen,2023-10-19 12:30:00,Low,,
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric bicycle stolen, 200.00",2023-10-19 19:30:00,Low,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric bicycle stolen, 200.00",2023-10-19 18:26:00,Low,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Matthews Apartments A,"Secured electric scooter stolen, Loss $500.00",2023-10-20 17:00:00,Expensive,32.878646,-117.2310505
Petty Theft,Mesa ‐ South,"Secured bicycle stolen, Loss $150.00",2023-10-20 23:00:00,Low,,
Petty Theft,Matthews Apartments,"Secured bicycle stolen, loss $500.00",2023-10-21 13:00:00,Expensive,32.878646,-117.2310505
Petty Theft,Price Center East,"Secured bicycle stolen, loss $500.00",2023-10-21 13:00:00,Expensive,32.8794123,-117.2368497
Grand Theft ‐ Micro Mobility Device,Price Center West,"Secured electric bicycle stolen, loss $1720.00",2023-10-21 14:11:00,Expensive,32.8794123,-117.2368497
Petty Theft,Gilman Drive,"Secured electric scooter, loss $270.00",2023-10-22 01:25:00,Expensive,32.8648237,-117.2364128
Petty Theft,Trolley ‐ UC Central Campus Stop,"Secured electric scooter stolen, loss $1000.00",2023-10-22 19:45:00,Expensive,,
Petty Theft,Gilman Drive,"Secured electric scooter, loss $270.00",2023-10-22 01:25:00,Expensive,32.8648237,-117.2364128
Petty Theft,Structural Materials Engineering Building,"Secured bicycle stolen, loss $250.00",2023-10-23 20:00:00,Expensive,32.8800218,-117.2329402
Petty Theft,Pangea Parking Lot,"Secured bicycle stolen, loss $690.00",2023-10-23 09:30:00,Expensive,32.8842556,-117.2431062
Grand Theft,TDLLN ‐ Podemos,"Secured bicycle stolen, loss $1,000.00",2023-10-22 16:00:00,Medium,,
Attempted Petty Theft,Structural and Material Engineering Bldg,Reporting party saw unknown male attempting to cut a bike lock,2023-10-23 19:52:00,Low,32.8800218,-117.2329402
Petty Theft of Micro Mobility Device,Mandeville Center,"Secured electric scooter stolen, loss $700.00",2023-10-24 11:00:00,Expensive,32.8777923,-117.2399788
Attempted Petty Theft,"One Miramar Street, Bldg 2","Reporting party found bike lock cut, believes it was cut in an attempt to steal their bicycle",2023-10-24 19:19:00,Low,32.8737372,-117.2268607
Petty Theft ‐ Micro Mobility Device,Pepper Canyon Hall,"Unsecured electric scooter stolen, loss $300.00",2023-10-25 10:15:00,Expensive,32.8783769,-117.2337607
Petty Theft ‐ Micro Mobility Device,Warren Lecture Hall,"Secured electric scooter stolen, loss $200.00",2023-10-25 11:50:00,Expensive,32.8805918,-117.2344208
Petty Theft,Center Hall,"Secured bicycle stolen, loss $150.00",2023-10-22 17:00:00,Low,32.8775468,-117.2374084
Petty Theft,Seventh College West #1,"Secured bicycle stolen, loss $900.00",2023-10-26 18:00:00,Expensive,,
Petty Theft,Pepper Canyon Apartments,"Secured bicycle stolen, loss $200.00",2023-10-26 13:00:00,Expensive,32.8775872,-117.2306142
Petty Theft,Center Hall,"Victim's scooter taken, no suspect information",2023-10-26 16:24:00,Low,32.8775468,-117.2374084
Petty Theft,Trolley ‐ Central Campus Station,Subject trying to force his way into bike cage at location,2023-10-27 09:40:00,Low,32.878353,-117.231842
Burglary/ Petty Theft ‐ Micro Mobility Device,Harlan Hall,"Unknown suspect(s) entered residence and stole a secured electric scooter, loss $600.00",2023-10-28 00:02:00,Expensive,32.8848017,-117.2323582
Petty Theft ‐ Micro Mobility Device,Structural and Material Engineering Bldg,"Secured electric scooter stolen, loss $299.99",2023-10-28 11:15:00,Expensive,32.8800218,-117.2329402
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter stolen, loss $600.00",2023-10-28 19:30:00,Expensive,32.878353,-117.231842
Petty Theft‐ Micro Mobility Device,Kaleidoscope,"Secured electric scooter stolen, loss $600.00",2023-10-28 20:00:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Geisel Library,"Secured electric scooter stolen, loss $700.00",2023-10-29 17:00:00,Expensive,32.881092,-117.2375659
Grand Theft ‐ Micro Mobility Device,Central Campus Trolley,"Secured electric scooter stolen, loss $1000.00",2023-10-29 16:00:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Central Campus Trolley,"Battery stolen off victim's e‐scooter, loss $200.00",2023-10-29 16:00:00,Expensive,,
Petty Theft,Thurgood Marshall Res Hall,"Bicycle stolen, amount of loss unknown",2023-10-30 00:00:00,Low,,
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter stolen, Loss $850.00",2023-10-30 22:15:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Geisel Library,"Secured electric scooter stolen, loss $600",2023-10-31 23:30:00,Expensive,32.881092,-117.2375659
Petty Theft,Gilman Drive,"Secured Stolen Bike, Loss $800.00",2023-10-31 09:35:00,Expensive,32.8648237,-117.2364128
Petty Theft,Muir Lane,"Secured Stolen Bike, Loss $799.00",2023-10-31 09:10:00,Expensive,32.8796794,-117.2414158
Petty Theft,Gilman Drive,"Secured Stolen Bike, Loss $250.00",2023-10-31 14:00:00,Expensive,32.8648237,-117.2364128
Petty Theft,Arbor Drive,"Secured Stolen Bike, Loss $529.00",2023-10-26 19:35:00,Expensive,,
Petty Theft ‐ Micro mobility Device,Voigt Drive,"Secured electric scooter stolen, loss $500.00",2023-10-31 23:50:00,Expensive,32.8811362,-117.2295642
Petty Theft,Miramar Street,"Secured bicycle stolen, Loss $150.00",2023-11-01 09:10:00,Low,32.8735076,-117.2238704
Petty Theft,Center Hall,"Victim's lock for scooter stolen, loss $25.00",2023-10-30 21:20:00,Low,32.8775468,-117.2374084
Petty Theft ‐ Micro mobility Device,FAN ‐ FAN ‐RW Academic Bldg,"Secured electric e‐scooter stolen, loss $460.00",2023-10-31 18:40:00,Expensive,32.8800633,-117.2409288
Petty Theft,Greenhouse Lane,"Secured Bicycle stolen, Loss $100.00",2023-10-30 15:00:00,Medium,32.8832575,-117.2299059
Petty Theft,Scholars Drive ‐ North,"Secured Bicycle stolen, Loss $150",2023-10-31 18:00:00,Low,32.8842874,-117.2424066
Petty Theft ‐ Micro Mobility Device,Geisel Library,"Secured electric scooter stolen, Loss $400.00",,Expensive,32.881092,-117.2375659
Petty Theft ‐ Micro Mobility Device,Justice Lane,"Stolen electric skateboard, loss $150.00",2023-11-01 20:30:00,Low,32.8822475,-117.2322471
Petty Theft ‐ Micro Mobility Device,Russell Lane,"Secured electric scooter stolen, loss $650.00",2023-11-03 22:00:00,Expensive,32.8784479,-117.2343121
Petty Theft,UCSD Residential Area,"Secured electric scooter stolen, loss $700.00",2023-11-05 23:55:00,Expensive,32.881168,-117.2343605
Petty Theft,Viento,"Secured bicycle stolen, loss $100.00",2023-11-05 19:00:00,Medium,,
Petty Theft,UCSD Train Station,"Secured electric scooter stolen, loss $350.00",2023-11-05 22:00:00,Expensive,32.881168,-117.2343605
Grand Theft ‐ Micro Mobility Device,Geisel Library,"Secured electric scooter stolen, loss $1,600.00",2023-11-06 20:00:00,Expensive,32.881092,-117.2375659
Petty Theft,9450 Innovation Lane,"Secured bicycle stolen, loss $400.00",2023-11-06 10:00:00,Expensive,32.8784644,-117.2305901
Petty Theft,Leichtag Family Foundation,"Secured bicycle stolen, loss $90.00",2023-11-05 16:30:00,Medium,32.8767963,-117.2372406
Petty Theft,Center Hall,"Secured bicycle stolen, loss $400.00",2023-11-06 11:00:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Micro Mobility Device,Design & Innovations Bldg,"Secured electric scooter stolen, loss $700.00",2023-11-05 23:50:00,Expensive,,
Petty Theft,Cognitive Sciences Building,"Secured bicycle stolen, loss $800.00",2023-11-06 16:50:00,Expensive,32.8805813,-117.2395409
Petty Theft ‐ Micro Mobility Device,Structural & Material Engineering Bldg,"Secured electric scooter stolen, loss $850.00",2023-11-06 19:20:00,Expensive,32.8800218,-117.2329402
Petty Theft ‐ Micro Mobility Device,Geisel Library,"Secured electric scooter stolen, loss $450.00",2023-11-07 20:45:00,Expensive,32.881092,-117.2375659
Petty Theft ‐ Micro Mobility Device,Center Hall,"Secured electric scooter stolen, loss $600.00",2023-11-06 20:00:00,Expensive,32.8775468,-117.2374084
Petty Theft,Trolley ‐ La Jolla Health Station,"Reporting party's secured bicycle stolen, request phone call from Officer",2023-11-06 16:04:00,Low,,
Petty Theft,Applied Physics & Mathematics,"Secured electric scooter stolen, loss $300.00",2023-11-07 18:30:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Franklin Antonio Hall,"Secured electric scooter stolen, loss $148.00",2023-11-07 21:00:00,Low,32.8835013,-117.2349145
Petty Theft,Podemos Bldg,"Secured bicycle stolen, loss $450.00",2023-11-08 21:20:00,Expensive,,
Grand Theft of Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter stolen, loss $1,200.00",2023-11-08 17:50:00,Low,32.878353,-117.231842
Petty Theft,Center Hall,"Secured bicycle stolen, loss $250.00",2023-11-09 20:00:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Micro Mobility Device,Geneva Hall,"Electric scooter stolen, unknown if secured, loss $600.00",2023-11-09 16:00:00,Expensive,32.8855413,-117.2420642
Petty Theft,Warren Lecture Hall,"Secured bicycle stolen, loss $750.00",2023-11-09 20:15:00,Expensive,32.8805918,-117.2344208
Petty Theft ‐ Micro Mobility Device,Humanities & Social Sciences,"Secured electric bicycle stolen, loss $550.00",2023-11-10 20:00:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Humanities & Social Sciences,"Secured electric bicycle stolen, loss $599.00",2023-11-10 17:50:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Peterson Hall,"Secured electric scooter stolen, loss $323.00",2023-11-10 23:40:00,Expensive,32.8799725,-117.2403292
Petty Theft,Geneva Hall,Unknown subject seen cutting a lock on bicycle,2023-11-11 04:30:00,Low,32.8855413,-117.2420642
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter stolen, loss $300.00",2023-11-12 15:00:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Seventh College West #1,"Secured electric scooter stolen, loss $515.00",2023-11-12 21:00:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Meteor Hall,"Secured electric scooter stolen, loss $499.00",2023-11-12 20:00:00,Expensive,32.8738214,-117.2419498
Petty Theft,Seventh College West #3,"Secured electric scooter stolen, Loss $350.00",2023-11-12 18:50:00,Expensive,,
Petty Theft,Structural & Material Engineering Bldg,"Secured bicycle stolen, loss $300.00",2023-11-13 17:50:00,Expensive,32.8800218,-117.2329402
Petty Theft ‐ Micro Mobility Device,Mandeville Center,"Secured electric scooter stolen, loss $450.00",2023-11-14 17:20:00,Expensive,32.8777923,-117.2399788
Grand Theft ‐ Micro Mobility Device,Hopkins Parking Structure,"Secured electric scooter stolen, loss $2,000.00",2023-11-15 11:00:00,Expensive,32.8837791,-117.2394026
Petty Theft ‐ Micro mobility Device,Voigt Drive,"Unknown suspect stole secured electric bicycle, Loss $450.00",2023-11-15 13:00:00,Expensive,32.8811362,-117.2295642
Grand Theft ‐ Micro Mobility Device,Copa Vida Café,"Unknown subject took victim's unsecured electric bicycle, amount of loss unknown",2023-11-17 13:58:00,Low,,
Petty Theft,Tenaya Hall,"Secured bicycle stolen from bike rack, loss $800.00",2023-11-16 00:00:00,Expensive,32.8794203,-117.2428555
Petty Theft ‐ Micro Mobility Device,Podemos,"Secured electric scooter stolen, loss $600.00",2023-11-17 20:15:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Main Gymnasium,"Unsecured electric scooter stolen from bike rack, loss $460.00",2023-11-18 13:22:00,Expensive,32.8771494,-117.2412479
Petty Theft ‐ Micro Mobility Device,Geisel Library,"Secured electric scooter stolen from bike rack, loss $500.00",2023-11-18 16:49:00,Expensive,32.881092,-117.2375659
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter stolen from bike rack, loss $300.00",2023-11-18 20:20:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter stolen, amount of loss unknown",2023-11-19 16:00:00,Low,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter stolen, loss $279.00",2023-11-19 15:50:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Micro Mobility Device,Price Center West ‐ The Trove,"Secured electric scooter stolen from bike racks, $200.00",2023-11-19 20:04:00,Expensive,32.8794123,-117.2368497
Grand Theft,Thurgood Marshall Res Hall P,"Secured bicycle stolen from bike rack, loss $2,000.00",2023-11-19 20:00:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Center Hall,"Unsecured electric bicycle stolen from bike rack, loss $700.00",2023-11-19 21:45:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Micro Mobility Device,Geisel Library,"Secured electric scooter stolen from bike racks, loss $700.00",2023-11-19 22:00:00,Expensive,32.881092,-117.2375659
Petty Theft ‐ Micro Mobility Device,Parking Lot 418,"Secured electric scooter stolen from bike rack, loss $750.00",2023-11-17 15:00:00,Expensive,,
Grand Theft ‐ Micro Mobility Device,10285 North Point Ln,"Bird Rides electric scooter stolen, loss $950.00",2023-09-13 15:40:00,Expensive,32.8903814,-117.2404945
Petty Theft,Humanities & Social Sciences,"Secured bicycle stolen, loss $200.00",2023-11-20 08:16:00,Expensive,,
