datetime,temperature,precipitation
2023-11-16 10:30:00,61.3,0.0
2022-11-16 15:10:00,53.0,0.0
2024-11-17 19:39:00,50.8,0.0
2024-11-18 13:36:00,54.4,0.0
2024-11-19 06:35:00,63.1,0.0
2022-11-20 00:45:00,55.0,0.0
2023-11-19 06:35:00,64.4,0.0
2024-11-20 05:30:00,67.7,0.0
2024-11-20 21:58:00,42.6,0.0
2023-11-21 07:47:00,77.0,0.0
2022-11-20 11:37:00,62.5,0.0
2023-11-21 12:37:00,61.5,0.0
2024-11-25 21:10:00,,
2023-11-27 15:13:00,52.4,0.0
2024-11-25 14:00:00,,
2023-11-25 04:00:00,64.5,0.0
2023-11-28 18:42:00,48.7,0.0
2024-11-29 00:40:00,,
2023-11-27 20:30:00,51.1,0.0
2023-07-02 15:50:00,62.6,0.0
2024-07-03 17:15:00,66.7,0.0
2022-07-03 20:15:00,64.0,0.0
2022-07-05 11:38:00,67.6,0.0
2024-07-03 05:20:00,75.4,0.0
2022-06-11 16:00:00,62.5,0.0
2022-07-07 10:15:00,69.9,0.0
2022-07-11 13:28:00,64.8,0.0
2023-07-03 20:10:00,62.3,0.0
2022-07-13 17:58:00,64.3,0.0
2024-07-14 04:00:00,74.7,0.0
2023-07-18 09:00:00,73.6,0.0
2022-07-19 20:57:00,65.4,0.0
2023-07-20 20:46:00,63.9,0.0
2024-07-21 12:17:00,68.4,0.0
2022-07-01 17:30:00,65.7,0.0
2024-07-21 21:34:00,65.2,0.0
2022-07-22 18:22:00,64.9,0.0
2022-07-23 00:45:00,66.2,0.0
2022-07-24 17:36:00,65.4,0.0
2022-07-23 18:30:00,64.0,0.0
2024-07-25 10:54:00,76.2,0.0
2023-07-26 12:00:00,72.5,0.0
2023-07-26 14:15:00,69.4,0.0
2023-07-28 18:00:00,67.0,0.0
2022-07-30 14:13:00,68.7,0.0
2023-07-30 06:50:00,75.3,0.0
2022-07-30 13:35:00,69.2,0.0
2022-07-16 16:30:00,65.9,0.0
2022-06-02 19:28:00,57.6,0.0
2024-06-03 13:30:00,60.1,0.0
2023-06-03 05:05:00,65.4,0.0
2023-05-26 16:30:00,58.9,0.0
2022-06-05 15:34:00,62.8,0.0
2024-06-05 22:28:00,60.9,0.0
2022-06-05 23:10:00,63.8,0.0
2022-06-06 03:30:00,73.2,0.0
2023-06-05 04:40:00,61.9,0.0
2023-06-06 20:00:00,58.0,0.0
2022-06-08 08:30:00,70.8,0.0
2023-06-10 18:35:00,59.5,0.1
2023-06-10 02:27:00,63.3,0.1
2024-06-10 14:30:00,61.7,0.0
2023-06-16 16:31:00,60.8,0.0
2023-06-16 23:25:00,61.6,0.0
2023-06-21 12:55:00,62.1,0.0
2024-06-21 08:57:00,71.6,0.0
2022-06-22 20:15:00,66.1,0.0
2022-06-26 14:40:00,65.5,0.0
2024-06-23 23:30:00,68.7,0.0
2023-06-29 16:05:00,61.3,0.0
2022-06-29 21:15:00,65.8,0.0
2024-09-03 08:17:00,78.6,0.0
2024-09-06 19:30:00,71.0,0.0
2024-09-13 12:00:00,66.4,0.0
2022-09-14 15:25:00,65.7,0.0
2024-09-21 02:43:00,66.5,0.0
2022-09-21 15:45:00,65.7,0.0
2023-09-25 20:22:00,60.7,0.0
2023-09-26 11:25:00,67.8,0.0
2024-09-26 11:40:00,64.9,0.0
2024-09-26 19:04:00,61.3,0.0
2023-09-23 11:27:00,65.2,0.0
2022-09-27 10:11:00,75.4,0.0
2024-09-27 20:16:00,61.0,0.0
2022-09-28 12:25:00,68.8,0.0
2022-09-30 02:45:00,71.0,0.0
2024-09-28 22:40:00,57.8,0.0
2024-09-30 12:32:00,65.4,0.0
2024-09-24 00:00:00,64.0,0.0
2024-09-30 17:25:00,62.8,0.0
2022-09-30 19:02:00,62.8,0.0
2023-09-30 16:25:00,61.4,0.2
2023-08-12 16:21:00,66.2,0.0
2022-08-13 20:15:00,68.7,0.0
2022-08-14 08:45:00,79.6,0.0
2023-08-14 16:00:00,67.0,0.0
2022-08-08 07:15:00,79.3,0.0
2023-08-15 20:10:00,66.7,0.0
2023-08-19 16:15:00,69.7,0.0
2022-08-21 19:30:00,66.1,0.0
2023-08-21 12:00:00,66.7,0.0
2024-08-25 21:00:00,61.7,0.0
2023-08-25 03:30:00,70.7,0.0
2023-08-26 21:33:00,61.9,0.0
2024-08-27 13:30:00,67.0,0.0
2024-06-01 12:52:00,59.9,0.0
2023-06-01 14:31:00,59.2,0.0
2024-06-01 02:30:00,63.6,0.0
2024-06-02 03:25:00,64.8,0.0
2023-06-02 15:30:00,59.7,0.0
2023-06-04 16:10:00,59.5,0.0
2022-05-29 16:30:00,59.7,0.0
2022-06-05 09:00:00,67.6,0.0
2024-05-29 14:27:00,58.8,0.0
2022-06-06 02:30:00,70.3,0.0
2022-06-07 15:30:00,61.0,0.0
2023-06-08 09:00:00,65.8,0.0
2022-06-06 06:00:00,72.6,0.0
2024-06-08 20:25:00,61.0,0.0
2022-06-10 20:30:00,63.1,0.0
2022-06-10 15:37:00,63.8,0.0
2024-06-10 14:30:00,61.7,0.0
2023-06-10 09:06:00,63.4,0.0
2022-06-10 20:37:00,63.1,0.0
2023-06-10 01:00:00,62.1,0.1
2024-06-11 13:00:00,61.0,0.0
2024-06-07 16:00:00,61.0,0.0
2022-06-10 21:50:00,63.1,0.0
2024-05-09 02:00:00,63.1,0.0
2022-06-13 16:00:00,64.0,0.0
2023-06-04 17:15:00,59.5,0.0
2023-06-27 15:04:00,60.8,0.0
2024-01-03 12:00:00,50.1,0.3
2023-01-06 04:30:00,58.7,0.0
2022-12-27 03:30:00,65.6,0.0
2022-01-06 19:30:00,47.8,0.0
2022-01-06 18:07:00,49.4,0.0
2022-01-07 16:37:00,53.2,0.0
2022-01-07 19:35:00,52.3,0.0
2024-12-27 20:00:00,,
2024-01-08 17:45:00,41.2,0.0
2023-12-28 11:00:00,54.1,0.0
2024-06-28 01:30:00,70.1,0.0
2023-01-09 13:13:00,55.4,0.0
2023-01-09 17:30:00,56.0,0.0
2022-01-10 11:30:00,59.4,0.0
2023-12-31 00:00:00,54.1,0.1
2024-01-11 17:10:00,42.8,0.0
2024-01-10 17:30:00,54.2,0.0
2023-01-11 20:15:00,49.6,0.0
2022-01-12 12:07:00,55.7,0.0
2022-01-12 16:43:00,52.5,0.0
2022-01-12 12:30:00,55.7,0.0
2022-01-14 16:30:00,56.8,0.0
2023-07-17 17:00:00,67.6,0.0
2024-01-16 16:10:00,53.7,0.0
2022-01-18 10:55:00,55.9,0.0
2024-01-18 19:15:00,49.9,0.0
2024-01-19 15:00:00,55.0,0.0
2024-01-15 05:00:00,60.4,0.0
2022-01-20 04:30:00,67.1,0.0
2023-01-20 20:56:00,43.0,0.0
2023-01-20 22:05:00,41.5,0.0
2022-01-19 19:00:00,48.0,0.0
2023-01-21 15:15:00,45.3,0.0
2024-01-20 20:02:00,55.5,0.1
2024-01-21 19:17:00,56.7,0.2
2022-01-22 17:25:00,47.4,0.0
2023-01-21 13:30:00,50.7,0.0
2024-01-21 12:45:00,55.9,0.0
2023-01-23 14:00:00,45.4,0.0
2022-01-23 16:43:00,49.0,0.0
2022-01-23 19:00:00,46.2,0.0
2022-01-24 16:07:00,50.1,0.0
2023-01-24 18:30:00,43.8,0.0
2023-01-25 19:35:00,50.9,0.0
2023-01-25 20:45:00,52.5,0.0
2023-01-24 11:30:00,51.4,0.0
2023-01-26 12:15:00,55.0,0.0
2023-01-26 19:07:00,47.8,0.0
2024-01-28 00:17:00,53.7,0.0
2023-01-28 19:48:00,52.0,0.2
2023-02-02 03:30:00,60.0,0.0
2022-02-02 13:15:00,49.3,0.0
2022-02-03 22:45:00,49.3,0.0
2022-02-04 03:25:00,63.9,0.0
2023-02-04 09:35:00,57.8,0.0
2023-02-03 23:00:00,43.3,0.0
2024-01-02 16:24:00,51.0,0.0
2024-02-06 03:15:00,55.7,0.7
2024-02-06 12:50:00,50.3,0.4
2022-02-07 06:45:00,71.8,0.0
2022-04-29 23:45:00,54.1,0.0
2023-05-06 15:30:00,54.7,0.0
2023-05-08 11:00:00,58.9,0.0
2023-05-08 16:42:00,54.9,0.0
2022-05-08 17:00:00,56.9,0.0
2023-05-09 07:00:00,63.4,0.0
2022-05-09 19:45:00,52.0,0.0
2023-04-22 02:00:00,71.1,0.0
2024-05-12 17:15:00,57.5,0.0
2024-05-14 19:10:00,58.4,0.0
2023-05-12 10:10:00,61.5,0.0
2023-05-17 14:25:00,57.7,0.0
2022-05-17 12:00:00,59.5,0.0
2022-05-17 16:40:00,57.6,0.0
2022-05-18 13:40:00,58.2,0.0
2024-05-18 17:02:00,58.6,0.0
2024-05-18 14:00:00,59.5,0.0
2023-05-19 19:00:00,58.1,0.0
2023-05-19 16:30:00,58.2,0.0
2023-05-19 03:30:00,64.0,0.0
2024-05-18 02:00:00,64.0,0.0
2023-05-21 11:00:00,61.3,0.0
2023-05-21 17:40:00,59.5,0.0
2023-05-22 17:27:00,58.8,0.0
2024-05-21 14:00:00,58.0,0.0
2024-05-22 23:50:00,58.9,0.0
2024-05-23 14:15:00,58.6,0.0
2022-05-23 15:30:00,57.2,0.0
2022-05-19 19:27:00,57.9,0.0
2022-05-27 07:30:00,67.7,0.0
2023-05-27 04:10:00,64.9,0.2
2024-05-28 10:10:00,61.3,0.0
2023-05-30 08:40:00,61.1,0.0
2022-05-30 13:15:00,60.7,0.0
2022-02-01 11:42:00,54.1,0.0
2022-02-01 04:00:00,59.5,0.0
2022-02-01 20:45:00,46.9,0.0
2023-02-02 11:20:00,50.7,0.0
2022-02-02 14:37:00,47.0,0.0
