type,price,location,date,time,weather,rain
bicycle,100,tenya hall,01/04/2022,21:30,49.0,0.0
bicycle,150,trolley - central campus stop,01/30/2022,03:45,64.7,0.0
bicycle,1200,library walk,01/30/2022,17:30,46.2,0.0
bicycle,800,tuolumne apts,01/05/2022,12:00,49.8,0.0
scooter,708,geisel library,01/30/2022,13:45,51.4,0.0
bicycle,330,atlantis dorms,01/31/2022,12:00,53.2,0.0
bicycle,1500,eleanor roosevelt college,01/31/2022,19:25,53.0,0.0
bicycle,1520,thornton pavilion,10/01/2022,08:26,70.7,0.0
scooter,700,price center,10/01/2022,16:22,63.3,0.0
bicycle,140,sixth college lobby - ,10/02/2022,06:40,73.4,0.0
scooter,360,price center ,10/02/2022,14:40,67.0,0.0
scooter,-1,campus services complex a,10/03/2022,05:24,73.4,0.0
bicycle,300,nuevo ,09/30/2022,00:15,67.0,0.0
scooter,268,lebon dr,10/03/2022,07:45,73.4,0.0
scooter,-1,earth hall south,10/04/2022,09:24,64.8,0.0
scooter,600,railing between pangea parking structure / earth hall south,10/04/2022,01:07,63.5,0.0
bicycle,750,price center,10/04/2022,07:40,64.1,0.0
bicycle,800,thurgood marshall administration offices,10/04/2022,19:30,60.8,0.0
bicycle,375,warren lecture hall ,10/04/2022,16:52,63.1,1.4
scooter,350,medical teaching facility,10/05/2022,13:15,64.2,0.0
bicycle,399,beagle hall,10/02/2022,07:55,69.6,0.1
bicycle,1700,"seventh college,  tower",10/06/2022,09:29,65.8,0.0
scooter,600,conrad presbys  - ,10/06/2022,11:52,63.3,0.0
bicycle,200,one miramar st blgd 3,10/06/2022,03:00,60.3,0.0
scooter,570,central hall north ,10/06/2022,11:55,64.0,0.0
bicycle,800,geisel library - ,10/05/2022,17:14,65.8,0.0
bicycle,3000,franklin antonio hall,10/06/2022,12:00,65.3,0.0
scooter,400,tenaya hall,10/07/2022,04:15,65.5,0.1
bicycle,1000,blake hall,10/09/2022,02:55,67.0,0.0
bicycle,500,trolley - central campus stop,10/09/2022,15:30,67.6,0.0
bicycle,1500,scholars dr north,10/09/2022,20:52,73.0,0.0
bicycle,700,scholars dr north,10/08/2022,16:00,65.0,0.0
bicycle,700,mesa nueva,10/10/2022,10:25,64.8,0.0
bicycle,300,foodworx dining room,10/10/2022,10:05,66.9,0.0
skateboard,165,price center ,10/10/2022,15:25,71.5,0.0
scooter,-1,trolley - central campus stop,10/11/2022,12:07,67.7,0.0
bicycle,350,center hall,10/11/2022,14:14,75.6,0.0
bicycle,301,tenaya hall,10/11/2022,00:30,63.5,0.0
bicycle,801,stein clinical research bldg.,10/03/2022,11:52,64.8,0.0
bicycle,1500,tioga hall,10/12/2022,11:30,65.7,0.0
scooter,750,seventh college,10/13/2022,04:00,72.9,0.0
bicycle,1200,seventh college,10/13/2022,15:30,68.3,0.0
bicycle,300,library walk,10/13/2022,22:05,65.6,0.0
bicycle,300,gilman dr,10/12/2022,13:30,71.0,0.0
bicycle,950,scholars dr south,10/14/2022,11:30,65.6,0.0
bicycle,1000,regents rd,10/15/2022,19:07,63.6,0.0
bicycle,400,ucsd central campus bus,10/15/2022,21:05,65.6,0.0
bicycle,270,argo hall,10/16/2022,22:30,74.6,0.0
bicycle,899,main gym,10/15/2022,12:06,70.7,0.0
scooter,600,gilman parking structure,10/17/2022,14:30,65.6,0.0
bicycle,300,one miramar st bldg 2,10/16/2022,05:00,63.2,0.0
bicycle,530,  of lion tree,10/17/2022,11:40,64.5,0.0
